loss,val_loss,learning_rate
0.019803842529654503,0.0057274349965155125,0.0010000000474974513
0.012353451922535896,0.0282916147261858,0.0010000000474974513
0.00771193765103817,0.031174132600426674,0.0010000000474974513
0.005911989603191614,0.02069895714521408,0.0010000000474974513
0.004630784969776869,0.01808771677315235,0.0010000000474974513
0.0038778914604336023,0.01108146458864212,0.0010000000474974513
0.0030784369446337223,0.004574975930154324,0.0005000000237487257
0.0027080827858299017,0.005158322397619486,0.0005000000237487257
0.0024523751344531775,0.004233218263834715,0.0005000000237487257
0.0023194546811282635,0.006312667857855558,0.0005000000237487257
0.0021908481139689684,0.005261275917291641,0.0005000000237487257
0.002175412606447935,0.007067826110869646,0.0005000000237487257
0.0023485254496335983,0.006108580622822046,0.0005000000237487257
0.0021529681980609894,0.005064585246145725,0.0005000000237487257
0.001893846201710403,0.0016626823926344514,0.0002500000118743628
0.0016738444101065397,0.0015064593171700835,0.0002500000118743628
0.0015264075482264161,0.0020816957112401724,0.0002500000118743628
0.0014373258454725146,0.0018243942176923156,0.0002500000118743628
0.0015681731747463346,0.0036176734138280153,0.0002500000118743628
0.0017073835479095578,0.0028632627800107002,0.0002500000118743628
0.0015667027328163385,0.0034988042898476124,0.0002500000118743628
0.001442229375243187,0.0008860014495439827,0.0001250000059371814
0.0013100332580506802,0.000922974431887269,0.0001250000059371814
0.0012760682730004191,0.0008969259797595441,0.0001250000059371814
0.0012263704556971788,0.0009374382789246738,0.0001250000059371814
0.0011741681955754757,0.0011247907532379031,0.0001250000059371814
0.0011748387478291988,0.0009921083692461252,0.0001250000059371814
0.001130151329562068,0.0007209976902231574,6.25000029685907e-05
0.0011024049017578363,0.0007017571479082108,6.25000029685907e-05
0.0011017469223588705,0.0006778012029826641,6.25000029685907e-05
0.0011041185352951288,0.0006638983031734824,6.25000029685907e-05
0.0010558890644460917,0.0006648455164395273,6.25000029685907e-05
0.0010679565602913499,0.0006537092849612236,6.25000029685907e-05
0.0010510379215702415,0.000656162912491709,3.125000148429535e-05
0.0009765619179233909,0.0006358386599458754,3.125000148429535e-05
0.0010032188147306442,0.0006380520644597709,3.125000148429535e-05
0.0010466870153322816,0.0006153653957881033,3.125000148429535e-05
0.0009869951754808426,0.0006160223856568336,3.125000148429535e-05
0.0010049853008240461,0.0006139591569080949,3.125000148429535e-05
0.001015637069940567,0.0006031646043993533,3.125000148429535e-05
0.0009963451884686947,0.0006028960924595594,3.125000148429535e-05
0.0009911193046718836,0.0006024450995028019,3.125000148429535e-05
0.0009911420056596398,0.0006220781360752881,1.5625000742147677e-05
0.0009437205735594034,0.0006374744698405266,1.5625000742147677e-05
0.0009108957019634545,0.0006323594134300947,1.5625000742147677e-05
0.0009353086934424937,0.0006254108157008886,1.5625000742147677e-05
0.0009475093684159219,0.0006004318129271269,1.5625000742147677e-05
0.000947645865380764,0.0006127958768047392,9.999999747378752e-06
0.000933645002078265,0.0005974593223072588,9.999999747378752e-06
0.0009548570960760117,0.0006224488606676459,9.999999747378752e-06
0.0009258945938199759,0.0005984244053252041,9.999999747378752e-06
0.0009485800401307642,0.000596247729845345,9.999999747378752e-06
0.0009189760312438011,0.0006281372625380754,9.999999747378752e-06
0.000910391507204622,0.0005856527131982148,9.999999747378752e-06
0.0009275435586459935,0.0005886485450901091,9.999999747378752e-06
0.0009284897823818028,0.0006179572083055973,9.999999747378752e-06
0.0009533303091302514,0.0005947984755039215,9.999999747378752e-06
0.0009213543380610645,0.000585905509069562,9.999999747378752e-06
0.0009410509373992682,0.0005817535566166043,9.999999747378752e-06
0.0009178537875413895,0.0005989439669065177,9.999999747378752e-06
0.0009188721305690706,0.0005934377550147474,9.999999747378752e-06
0.0009318377706222236,0.0006196075119078159,9.999999747378752e-06
0.0009021909208968282,0.0005851435707882047,9.999999747378752e-06
0.0009339307434856892,0.0006292494363151491,9.999999747378752e-06
0.0009179037879221141,0.0006229961873032153,9.999999747378752e-06
0.000927323941141367,0.0005919105606153607,9.999999747378752e-06
0.0009265200351364911,0.0005898814415559173,9.999999747378752e-06
0.0009296280331909657,0.0005968057666905224,9.999999747378752e-06
0.0009142928174696863,0.0005734361475333571,9.999999747378752e-06
0.0009079079027287662,0.0005890867323614657,9.999999747378752e-06
0.000903452280908823,0.0005718283355236053,9.999999747378752e-06
0.000903415319044143,0.0005802777013741434,9.999999747378752e-06
0.0009194529266096652,0.000590067240409553,9.999999747378752e-06
0.0009017046540975571,0.0005783172673545778,9.999999747378752e-06
0.0008706841035746038,0.0006054252153262496,9.999999747378752e-06
0.0009038386051543057,0.000564110407140106,9.999999747378752e-06
0.0008894942002370954,0.0005742794601246715,9.999999747378752e-06
0.0009160316549241543,0.0005798035417683423,9.999999747378752e-06
0.0008934193756431341,0.000555967737454921,9.999999747378752e-06
0.0008842080133035779,0.0005852243630215526,9.999999747378752e-06
0.0008799281786195934,0.0005661504110321403,9.999999747378752e-06
0.0009006324107758701,0.0005611850065179169,9.999999747378752e-06
0.0008966631139628589,0.0005575854447670281,9.999999747378752e-06
0.0008780391071923077,0.000589496863540262,9.999999747378752e-06
0.00088446558220312,0.0005749475094489753,9.999999747378752e-06
0.0008859825320541859,0.0005825117114000022,9.999999747378752e-06
0.0008491965127177536,0.0005577280535362661,9.999999747378752e-06
0.0008971530478447676,0.0005679605528712273,9.999999747378752e-06
0.000876801845151931,0.0005614543333649635,9.999999747378752e-06
